flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label
10.116.63.54_10.116.63.69_5000_42786,10.116.63.54,10.116.63.69,5000,42786,1.613805055618286,5,567,5,0,567,0,3.098267651717316,351.3435517047436,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_42792,10.116.63.54,10.116.63.69,5000,42792,0.9033691883087158,5,567,5,0,567,0,5.534835662660778,627.6503641457322,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_43876,10.116.63.54,10.116.63.69,5000,43876,2.3980581760406494,5,750,5,0,750,0,2.0850203093301625,312.75304639952435,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_43884,10.116.63.54,10.116.63.69,5000,43884,5.00135350227356,5,750,5,0,750,0,0.999729372804193,149.95940592062897,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_43892,10.116.63.54,10.116.63.69,5000,43892,15.623401880264282,5,615,5,0,615,0,0.3200327328400913,39.36402613933124,123.0,66,240,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_43896,10.116.63.54,10.116.63.69,5000,43896,18.373820781707764,5,615,5,0,615,0,0.2721263072826855,33.47153579577032,123.0,66,240,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_44452,10.116.63.54,10.116.63.69,5000,44452,2.433974266052246,5,609,5,0,609,0,2.054253436339607,250.20806854616416,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_44644,10.116.63.54,10.116.63.69,5000,44644,1.302687406539917,5,750,5,0,750,0,3.83821934172263,575.7329012583945,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_44652,10.116.63.54,10.116.63.69,5000,44652,0.745905876159668,5,750,5,0,750,0,6.703258627942092,1005.4887941913138,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_44660,10.116.63.54,10.116.63.69,5000,44660,3.356009006500244,5,750,5,0,750,0,1.4898648931857794,223.4797339778669,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_45732,10.116.63.54,10.116.63.69,5000,45732,0.925013780593872,5,567,5,0,567,0,5.405324877203373,612.9638410748626,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_45734,10.116.63.54,10.116.63.69,5000,45734,2.2595255374908447,5,567,5,0,567,0,2.2128539452368368,250.9376373898573,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_45748,10.116.63.54,10.116.63.69,5000,45748,3.9699203968048096,4,501,4,0,501,0,1.0075768781710082,126.19900399091875,125.25,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_45762,10.116.63.54,10.116.63.69,5000,45762,2.857203960418701,5,567,5,0,567,0,1.7499625750439212,198.44575600998067,113.4,66,231,0,0,0,BENIGN
