timestamp,src_ip,dst_ip,icmp_type,icmp_code,frame_length,ttl,label
1786194572.6249325,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194572.625208,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194573.6314993,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194573.63159,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194574.635736,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194574.6358516,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194575.6692731,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194575.6694136,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194578.4172552,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194578.417538,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194581.5331233,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194581.533388,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194583.448074,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194583.4483063,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194585.9102557,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194585.910484,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194587.8974123,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194587.897646,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194589.8661838,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194589.8663163,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194593.26872,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194593.2689753,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194595.9028156,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194595.9030557,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194598.367406,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194598.3676527,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194601.064492,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194601.064712,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194603.195428,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
