flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label,source_dataset,avg_udp_length,min_udp_length,max_udp_length,total_requests,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,avg_ttl
127.0.0.1_127.0.0.1_62524_5018,127.0.0.1,127.0.0.1,62524.0,5018.0,0.0119152069091796,4.0,188,4.0,0.0,188.0,0.0,335.7054586201377,15778.15655514647,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62525_5019,127.0.0.1,127.0.0.1,62525.0,5019.0,0.0038983821868896,4.0,188,4.0,0.0,188.0,0.0,1026.066662589444,48225.13314170388,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62526_5020,127.0.0.1,127.0.0.1,62526.0,5020.0,0.012253999710083,4.0,188,4.0,0.0,188.0,0.0,326.4240325310816,15341.929528960834,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62527_5021,127.0.0.1,127.0.0.1,62527.0,5021.0,0.0058772563934326,4.0,188,4.0,0.0,188.0,0.0,680.5896718185875,31987.71457547361,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62528_5022,127.0.0.1,127.0.0.1,62528.0,5022.0,0.0146548748016357,4.0,188,4.0,0.0,188.0,0.0,272.9467193778776,12828.495810760243,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62529_5023,127.0.0.1,127.0.0.1,62529.0,5023.0,0.0087285041809082,4.0,188,4.0,0.0,188.0,0.0,458.26866976236,21538.62747883092,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62530_5024,127.0.0.1,127.0.0.1,62530.0,5024.0,0.0017628669738769,4.0,188,4.0,0.0,188.0,0.0,2269.031106302408,106644.46199621314,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62531_5025,127.0.0.1,127.0.0.1,62531.0,5025.0,0.009232759475708,4.0,188,4.0,0.0,188.0,0.0,433.23992253066496,20362.276358941253,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62532_5026,127.0.0.1,127.0.0.1,62532.0,5026.0,0.0003509521484375,4.0,188,4.0,0.0,188.0,0.0,11397.565217391304,535685.5652173914,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62533_5027,127.0.0.1,127.0.0.1,62533.0,5027.0,0.0060296058654785,4.0,188,4.0,0.0,188.0,0.0,663.3932779754844,31179.48406484777,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
