timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,frame_length,tcp_length,label
1786176943.3545117,127.0.0.1,127.0.0.1,56319,5052,,56,0,HTTP_FLOOD
1786176943.3546476,127.0.0.1,127.0.0.1,56319,5052,,44,0,HTTP_FLOOD
1786176943.3550477,127.0.0.1,127.0.0.1,56319,5052,,708,664,HTTP_FLOOD
1786176943.3563414,127.0.0.1,127.0.0.1,53131,5052,,56,0,HTTP_FLOOD
1786176943.3564565,127.0.0.1,127.0.0.1,53131,5052,,44,0,HTTP_FLOOD
1786176943.429443,127.0.0.1,127.0.0.1,56319,5052,,44,0,HTTP_FLOOD
1786176943.4295964,127.0.0.1,127.0.0.1,56319,5052,,44,0,HTTP_FLOOD
1786176943.4310572,127.0.0.1,127.0.0.1,56319,5052,,44,0,HTTP_FLOOD
1786176943.4742868,127.0.0.1,127.0.0.1,56319,5052,,44,0,HTTP_FLOOD
1786176943.4792528,127.0.0.1,127.0.0.1,53131,5052,,634,590,HTTP_FLOOD
1786176943.4920032,127.0.0.1,127.0.0.1,53131,5052,,44,0,HTTP_FLOOD
1786176943.4921248,127.0.0.1,127.0.0.1,53131,5052,,44,0,HTTP_FLOOD
1786176943.4933991,127.0.0.1,127.0.0.1,53131,5052,,44,0,HTTP_FLOOD
1786176943.5263162,127.0.0.1,127.0.0.1,53131,5052,,44,0,HTTP_FLOOD
1786176990.905011,127.0.0.1,127.0.0.1,57006,5052,,56,0,HTTP_FLOOD
1786176990.905121,127.0.0.1,127.0.0.1,57006,5052,,44,0,HTTP_FLOOD
1786176990.9058776,127.0.0.1,127.0.0.1,57006,5052,,207,163,HTTP_FLOOD
1786176990.906557,127.0.0.1,127.0.0.1,57006,5052,,44,0,HTTP_FLOOD
1786176990.9065788,127.0.0.1,127.0.0.1,57006,5052,,44,0,HTTP_FLOOD
1786176990.9220312,127.0.0.1,127.0.0.1,57006,5052,,44,0,HTTP_FLOOD
1786177080.9012094,127.0.0.1,127.0.0.1,57006,5052,,44,0,HTTP_FLOOD
1786177080.909284,127.0.0.1,127.0.0.1,54103,5052,,56,0,HTTP_FLOOD
1786177080.9094725,127.0.0.1,127.0.0.1,54103,5052,,44,0,HTTP_FLOOD
1786177080.909956,127.0.0.1,127.0.0.1,54103,5052,,183,139,HTTP_FLOOD
1786177080.911302,127.0.0.1,127.0.0.1,54103,5052,,44,0,HTTP_FLOOD
1786177080.9113393,127.0.0.1,127.0.0.1,54103,5052,,44,0,HTTP_FLOOD
1786177080.924821,127.0.0.1,127.0.0.1,54103,5052,,44,0,HTTP_FLOOD
1786177080.9262593,127.0.0.1,127.0.0.1,54103,5052,,44,0,HTTP_FLOOD
1786177080.9307196,127.0.0.1,127.0.0.1,54104,5052,,56,0,HTTP_FLOOD
1786177080.9308374,127.0.0.1,127.0.0.1,54104,5052,,44,0,HTTP_FLOOD
1786177080.9310403,127.0.0.1,127.0.0.1,54104,5052,,183,139,HTTP_FLOOD
1786177080.932328,127.0.0.1,127.0.0.1,54104,5052,,44,0,HTTP_FLOOD
1786177080.9323695,127.0.0.1,127.0.0.1,54104,5052,,44,0,HTTP_FLOOD
1786177080.9437315,127.0.0.1,127.0.0.1,54104,5052,,44,0,HTTP_FLOOD
1786177080.946143,127.0.0.1,127.0.0.1,54104,5052,,44,0,HTTP_FLOOD
1786177080.9519427,127.0.0.1,127.0.0.1,54105,5052,,56,0,HTTP_FLOOD
1786177080.9520738,127.0.0.1,127.0.0.1,54105,5052,,44,0,HTTP_FLOOD
1786177080.9522636,127.0.0.1,127.0.0.1,54105,5052,,183,139,HTTP_FLOOD
1786177080.9532356,127.0.0.1,127.0.0.1,54105,5052,,44,0,HTTP_FLOOD
1786177080.953261,127.0.0.1,127.0.0.1,54105,5052,,44,0,HTTP_FLOOD
1786177080.9710128,127.0.0.1,127.0.0.1,54105,5052,,44,0,HTTP_FLOOD
