flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_requests,total_bytes,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,label
XSS_29,127.0.0.1,127.0.0.1,58611,5052,0.5129649639129639,20,4545,38.989017587940864,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_30,127.0.0.1,127.0.0.1,58631,5052,0.5070459842681885,20,4545,39.44415421979071,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_31,127.0.0.1,127.0.0.1,58651,5052,0.4901401996612549,20,4545,40.80465143202369,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_32,127.0.0.1,127.0.0.1,58671,5052,0.5053195953369141,20,4545,39.57891240426825,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_33,127.0.0.1,127.0.0.1,58692,5052,0.478074312210083,20,4545,41.83450038874141,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_34,127.0.0.1,127.0.0.1,58712,5052,0.522834062576294,20,4545,38.2530547100334,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_35,127.0.0.1,127.0.0.1,58732,5052,0.5069255828857422,20,4545,39.45352271658358,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_36,127.0.0.1,127.0.0.1,58752,5052,0.5473835468292236,20,4545,36.53745187602384,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_37,127.0.0.1,127.0.0.1,58772,5052,0.5217201709747314,20,4545,38.334726377617216,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_38,127.0.0.1,127.0.0.1,58792,5052,0.587134838104248,20,4545,34.06372557379898,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
