flow_id,src_ip,dst_ip,flow_duration,total_packets,total_bytes,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,avg_ttl,label
ICMP_96,127.0.0.1,127.0.0.1,0.8518452644348145,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_97,127.0.0.1,127.0.0.1,0.9320478439331055,24,1536,12,12,0,1.0,24.0,1536.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_98,127.0.0.1,127.0.0.1,0.9159016609191895,22,1408,11,11,0,1.0,22.0,1408.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_99,127.0.0.1,127.0.0.1,0.9418628215789795,24,1536,12,12,0,1.0,24.0,1536.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_100,127.0.0.1,127.0.0.1,0.7460618019104004,16,1024,8,8,0,1.0,16.0,1024.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_101,127.0.0.1,127.0.0.1,0.979121208190918,20,1280,10,10,0,1.0,20.0,1280.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_102,127.0.0.1,127.0.0.1,0.8024709224700928,26,1664,13,13,0,1.0,26.0,1664.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_103,127.0.0.1,127.0.0.1,0.9412693977355957,34,2176,17,17,0,1.0,34.0,2176.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_104,127.0.0.1,127.0.0.1,0.9671895503997803,36,2304,18,18,0,1.0,36.0,2304.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_105,127.0.0.1,127.0.0.1,0.9214944839477539,50,3200,25,25,0,1.0,50.0,3200.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_106,127.0.0.1,127.0.0.1,0.7586863040924072,34,2176,17,17,0,1.0,34.0,2176.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_107,127.0.0.1,127.0.0.1,0.869389533996582,8,512,4,4,0,1.0,8.0,512.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_108,127.0.0.1,127.0.0.1,0.935309648513794,12,768,6,6,0,1.0,12.0,768.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_109,127.0.0.1,127.0.0.1,0.777184247970581,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_110,127.0.0.1,127.0.0.1,0.8107738494873047,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_111,127.0.0.1,127.0.0.1,0.8180215358734131,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_112,127.0.0.1,127.0.0.1,0.9438343048095703,16,1024,8,8,0,1.0,16.0,1024.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_113,127.0.0.1,127.0.0.1,0.8722732067108154,24,1536,12,12,0,1.0,24.0,1536.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_114,127.0.0.1,127.0.0.1,0.9153828620910645,16,1024,8,8,0,1.0,16.0,1024.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_115,127.0.0.1,127.0.0.1,0.967200756072998,26,1664,13,13,0,1.0,26.0,1664.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_116,127.0.0.1,127.0.0.1,0.7853260040283203,20,1280,10,10,0,1.0,20.0,1280.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_117,127.0.0.1,127.0.0.1,0.8973450660705566,22,1408,11,11,0,1.0,22.0,1408.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_118,127.0.0.1,127.0.0.1,0.897301197052002,18,1152,9,9,0,1.0,18.0,1152.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_119,127.0.0.1,127.0.0.1,0.8293788433074951,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_120,127.0.0.1,127.0.0.1,0.897730827331543,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_121,127.0.0.1,127.0.0.1,0.9028780460357666,12,768,6,6,0,1.0,12.0,768.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_122,127.0.0.1,127.0.0.1,0.7672586441040039,12,768,6,6,0,1.0,12.0,768.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_123,127.0.0.1,127.0.0.1,0.8942215442657471,12,768,6,6,0,1.0,12.0,768.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_124,127.0.0.1,127.0.0.1,0.6446192264556885,10,640,5,5,0,1.0,10.0,640.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_125,127.0.0.1,127.0.0.1,0.7745490074157715,10,640,5,5,0,1.0,10.0,640.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_126,127.0.0.1,127.0.0.1,0.9230811595916748,8,512,4,4,0,1.0,8.0,512.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_127,127.0.0.1,127.0.0.1,0.678631067276001,8,512,4,4,0,1.0,8.0,512.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_128,127.0.0.1,127.0.0.1,0.9591119289398193,12,768,6,6,0,1.0,12.0,768.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_129,127.0.0.1,127.0.0.1,0.6868858337402344,8,512,4,4,0,1.0,8.0,512.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_130,127.0.0.1,127.0.0.1,0.8583660125732422,12,768,6,6,0,1.0,12.0,768.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_131,127.0.0.1,127.0.0.1,0.8239328861236572,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_132,127.0.0.1,127.0.0.1,0.9112005233764648,26,1664,13,13,0,1.0,26.0,1664.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_133,127.0.0.1,127.0.0.1,0.9111306667327881,18,1152,9,9,0,1.0,18.0,1152.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_134,127.0.0.1,127.0.0.1,0.849602222442627,18,1152,9,9,0,1.0,18.0,1152.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_135,127.0.0.1,127.0.0.1,0.8810405731201172,20,1280,10,10,0,1.0,20.0,1280.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_136,127.0.0.1,127.0.0.1,0.8805007934570312,18,1152,9,9,0,1.0,18.0,1152.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_137,127.0.0.1,127.0.0.1,0.8753759860992432,24,1536,12,12,0,1.0,24.0,1536.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_138,127.0.0.1,127.0.0.1,0.861147403717041,22,1408,11,11,0,1.0,22.0,1408.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_139,127.0.0.1,127.0.0.1,0.9192352294921875,26,1664,13,13,0,1.0,26.0,1664.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_140,127.0.0.1,127.0.0.1,0.9366428852081299,24,1536,12,12,0,1.0,24.0,1536.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_141,127.0.0.1,127.0.0.1,0.8735110759735107,20,1280,10,10,0,1.0,20.0,1280.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_142,127.0.0.1,127.0.0.1,0.889024019241333,22,1408,11,11,0,1.0,22.0,1408.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_143,127.0.0.1,127.0.0.1,0.942122220993042,26,1664,13,13,0,1.0,26.0,1664.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_144,127.0.0.1,127.0.0.1,0.9737365245819092,30,1920,15,15,0,1.0,30.0,1920.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_145,127.0.0.1,127.0.0.1,0.9303536415100098,28,1792,14,14,0,1.0,28.0,1792.0,64.0,64,64,128.0,ICMP_TRAFFIC
